County,date,confirmed
New Cases 06-01-2021,06-01-2021,6
New Cases 06-02-2021,06-02-2021,3
New Cases 06-03-2021,06-03-2021,0
New Cases 06-04-2021,06-04-2021,1
New Cases 06-05-2021,06-05-2021,4
New Cases 06-06-2021,06-06-2021,1
New Cases 06-07-2021,06-07-2021,0
New Cases 06-08-2021,06-08-2021,0
New Cases 06-09-2021,06-09-2021,-1
New Cases 06-10-2021,06-10-2021,0
New Cases 06-11-2021,06-11-2021,0
New Cases 06-12-2021,06-12-2021,2
New Cases 06-13-2021,06-13-2021,1
New Cases 06-14-2021,06-14-2021,1
New Cases 06-15-2021,06-15-2021,2
New Cases 06-16-2021,06-16-2021,1
New Cases 06-17-2021,06-17-2021,-2
New Cases 06-18-2021,06-18-2021,1
New Cases 06-19-2021,06-19-2021,62
New Cases 06-20-2021,06-20-2021,1
New Cases 06-21-2021,06-21-2021,1
New Cases 06-22-2021,06-22-2021,1
New Cases 06-23-2021,06-23-2021,-4
New Cases 06-24-2021,06-24-2021,0
New Cases 06-25-2021,06-25-2021,4
New Cases 06-26-2021,06-26-2021,9
New Cases 06-27-2021,06-27-2021,1
New Cases 06-28-2021,06-28-2021,0
New Cases 06-29-2021,06-29-2021,-5
New Cases 06-30-2021,06-30-2021,0
New Cases 07-01-2021,07-01-2021,0
New Cases 07-02-2021,07-02-2021,1
New Cases 07-03-2021,07-03-2021,2
New Cases 07-04-2021,07-04-2021,1
New Cases 07-05-2021,07-05-2021,0
New Cases 07-06-2021,07-06-2021,0
New Cases 07-07-2021,07-07-2021,1
New Cases 07-08-2021,07-08-2021,0
New Cases 07-09-2021,07-09-2021,0
New Cases 07-10-2021,07-10-2021,1
New Cases 07-11-2021,07-11-2021,2
New Cases 07-12-2021,07-12-2021,0
New Cases 07-13-2021,07-13-2021,2
New Cases 07-14-2021,07-14-2021,0
New Cases 07-15-2021,07-15-2021,2
New Cases 07-16-2021,07-16-2021,1
New Cases 07-17-2021,07-17-2021,1
New Cases 07-18-2021,07-18-2021,0
New Cases 07-19-2021,07-19-2021,0
New Cases 07-20-2021,07-20-2021,3
New Cases 07-21-2021,07-21-2021,9
New Cases 07-22-2021,07-22-2021,3
New Cases 07-23-2021,07-23-2021,5
New Cases 07-24-2021,07-24-2021,6
New Cases 07-25-2021,07-25-2021,2
New Cases 07-26-2021,07-26-2021,2
New Cases 07-27-2021,07-27-2021,6
New Cases 07-28-2021,07-28-2021,13
New Cases 07-29-2021,07-29-2021,14
New Cases 07-30-2021,07-30-2021,16
New Cases 07-31-2021,07-31-2021,16
New Cases 08-01-2021,08-01-2021,12
New Cases 08-02-2021,08-02-2021,8
New Cases 08-03-2021,08-03-2021,15
New Cases 08-04-2021,08-04-2021,9
New Cases 08-05-2021,08-05-2021,15
New Cases 08-06-2021,08-06-2021,16
New Cases 08-07-2021,08-07-2021,14
New Cases 08-08-2021,08-08-2021,1
New Cases 08-09-2021,08-09-2021,5
New Cases 08-10-2021,08-10-2021,24
